is_number,title,year,status,category,keywords,related_service,source_url
IS 2993,A.C. motor capacitors,2018,Mandatory (QCO),Compulsory Certification,"motor, capacitors",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13340,Power Capacitors of Self-healing Type for AC Power Systems having Rated Voltage up to 650V,Current,Mandatory (QCO),Compulsory Certification,"Power, Capacitors, Self, healing, Type, Systems",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13585 Part 1,"Shunt Power Capacitors of the Non-Self-Healing Type for AC System having a Rated Voltage up to and Including 1000V Part-1 General Performance, Testing amd Rating Safety Requirements Guide for Installation and Operation",Current,Mandatory (QCO),Compulsory Certification,"Shunt, Power, Capacitors, Self, Healing, Type",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 252:2013,Caustic Soda -Specification,2013,Mandatory (QCO),Compulsory Certification,"Caustic, Soda, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10116 : 2015,Boric Acid – Specification,2015,Mandatory (QCO),Compulsory Certification,"Boric, Acid, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15573,Poly Aluminium Chloride,2019,Mandatory (QCO),Compulsory Certification,"Poly, Aluminium, Chloride",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 695:2020,Acetic Acid,2020,Mandatory (QCO),Compulsory Certification,"Acetic, Acid",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2833:2019,Aniline,2019,Mandatory (QCO),Compulsory Certification,Aniline,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 517:2020,Methanol,2020,Mandatory (QCO),Compulsory Certification,Methanol,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5158: 1987,"Specification for Phthalic Anhydride, Technical",1987,Mandatory (QCO),Compulsory Certification,"Specification, Phthalic, Anhydride, Technical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8058:2018,Pyridine,2018,Mandatory (QCO),Compulsory Certification,Pyridine,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16113:2013,Gamma Picoline,2013,Mandatory (QCO),Compulsory Certification,"Gamma, Picoline",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16112:2013,Beta Picoline,2013,Mandatory (QCO),Compulsory Certification,"Beta, Picoline",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12084: 2018,Morpholine,2018,Mandatory (QCO),Compulsory Certification,Morpholine,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 297:2001,"Sodium Sulphide, Technical",2001,Mandatory (QCO),Compulsory Certification,"Sodium, Sulphide, Technical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7129:1992,"Potassium Carbonate, Anhydrous",1992,Mandatory (QCO),Compulsory Certification,"Potassium, Carbonate, Anhydrous",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 170:2004,Acetone,2004,Mandatory (QCO),Compulsory Certification,Acetone,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4581:1978,"Phosphorous Trichloride, pure and Analytical Reagent",1978,Mandatory (QCO),Compulsory Certification,"Phosphorous, Trichloride, pure, Analytical, Reagent",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11744:1986,"Phosphorous Pentachloride, Technical",1986,Mandatory (QCO),Compulsory Certification,"Phosphorous, Pentachloride, Technical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11657:1986,"Phosphorous Oxychloride, Technical",1986,Mandatory (QCO),Compulsory Certification,"Phosphorous, Oxychloride, Technical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2080:2021,Stabilized Hydrogen Peroxide,2080,Mandatory (QCO),Compulsory Certification,"Stabilized, Hydrogen, Peroxide",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3205:1984,"Precipitated Barium Carbonate, Technical",1984,Mandatory (QCO),Compulsory Certification,"Precipitated, Barium, Carbonate, Technical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12928:1990,Precipitated Barium for Ceramic and Glass Industry,1990,Mandatory (QCO),Compulsory Certification,"Precipitated, Barium, Ceramic, Glass, Industry",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4505:2015,Sodium Formaldehyde Sulphoxylate,2015,Mandatory (QCO),Compulsory Certification,"Sodium, Formaldehyde, Sulphoxylate",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6100:1984,"Sodium Tripolyphosphate, Anhydrous, Technical",1984,Mandatory (QCO),Compulsory Certification,"Sodium, Tripolyphosphate, Anhydrous, Technical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14709:1999,n- Butyl Acrylate,1999,Mandatory (QCO),Compulsory Certification,"Butyl, Acrylate",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 336:1973,Ether,1973,Mandatory (QCO),Compulsory Certification,Ether,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5295:1985,Ethylene Glycol,1985,Mandatory (QCO),Compulsory Certification,"Ethylene, Glycol",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 537:2011,Toluene,2011,Mandatory (QCO),Compulsory Certification,Toluene,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
